Date : 2024-12-26 20:41:43
Directory : /Users/max/Documents/Code/Websites/mastela-site
Total : 100 files,  7891 codes, 429 comments, 769 blanks, all 9089 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/pages/cape-coral-guide                                                                                         |          2 |        273 |          5 |         36 |        314 |
| src/pages/cape-coral-guides                                                                                        |          2 |        136 |          8 |         32 |        176 |
| src/pages/property                                                                                                 |          1 |        735 |         22 |         66 |        823 |
| src/pages/studio                                                                                                   |          1 |         16 |          0 |          1 |         17 |
| src/server                                                                                                         |          9 |        640 |         75 |         93 |        808 |
| src/server (Files)                                                                                                 |          3 |         26 |          0 |          8 |         34 |
| src/server/api                                                                                                     |          6 |        614 |         75 |         85 |        774 |
| src/server/api (Files)                                                                                             |          3 |         48 |         62 |         15 |        125 |
| src/server/api/routers                                                                                             |          3 |        566 |         13 |         70 |        649 |
| src/styles                                                                                                         |          1 |         21 |          0 |          6 |         27 |
| src/utils                                                                                                          |         12 |        204 |         48 |         49 |        301 |
| src/utils (Files)                                                                                                  |          2 |         59 |         38 |         11 |        108 |
| src/utils/fetch                                                                                                    |          2 |         48 |          3 |         11 |         62 |
| src/utils/functions                                                                                                |          8 |         97 |          7 |         27 |        131 |
| src/utils/functions (Files)                                                                                        |          4 |         58 |          1 |         16 |         75 |
| src/utils/functions/dates                                                                                          |          4 |         39 |          6 |         11 |         56 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                           | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/max/Documents/Code/Websites/mastela-site/.eslintrc.cjs                                                      | JavaScript         |         32 |          2 |          3 |         37 |
| /Users/max/Documents/Code/Websites/mastela-site/.github/workflows/azure-static-web-apps-gentle-water-012f4a80f.yml | YAML               |         40 |          3 |          4 |         47 |
| /Users/max/Documents/Code/Websites/mastela-site/.sanity/runtime/app.js                                             | JavaScript         |          7 |          2 |          3 |         12 |
| /Users/max/Documents/Code/Websites/mastela-site/.sanity/runtime/index.html                                         | HTML               |        169 |          4 |         30 |        203 |
| /Users/max/Documents/Code/Websites/mastela-site/README.md                                                          | Markdown           |         15 |          0 |          5 |         20 |
| /Users/max/Documents/Code/Websites/mastela-site/next.config.mjs                                                    | JavaScript         |         18 |         11 |          2 |         31 |
| /Users/max/Documents/Code/Websites/mastela-site/package.json                                                       | JSON               |         75 |          0 |          1 |         76 |
| /Users/max/Documents/Code/Websites/mastela-site/postcss.config.cjs                                                 | JavaScript         |          7 |          0 |          2 |          9 |
| /Users/max/Documents/Code/Websites/mastela-site/prettier.config.cjs                                                | JavaScript         |          4 |          1 |          2 |          7 |
| /Users/max/Documents/Code/Websites/mastela-site/prisma/schema.prisma                                               | Prisma             |         55 |          2 |          8 |         65 |
| /Users/max/Documents/Code/Websites/mastela-site/reservations.csv                                                   | CSV                |         93 |          0 |          0 |         93 |
| /Users/max/Documents/Code/Websites/mastela-site/sanity.cli.ts                                                      | TypeScript         |          4 |          4 |          3 |         11 |
| /Users/max/Documents/Code/Websites/mastela-site/sanity.config.ts                                                   | TypeScript         |         15 |          7 |          4 |         26 |
| /Users/max/Documents/Code/Websites/mastela-site/sanity/env.ts                                                      | TypeScript         |         17 |          0 |          6 |         23 |
| /Users/max/Documents/Code/Websites/mastela-site/sanity/lib/image.ts                                                | TypeScript         |         10 |          0 |          4 |         14 |
| /Users/max/Documents/Code/Websites/mastela-site/sanity/lib/sanityClient.ts                                         | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/max/Documents/Code/Websites/mastela-site/sanity/lib/urlFor.ts                                               | TypeScript         |          6 |          0 |          0 |          6 |
| /Users/max/Documents/Code/Websites/mastela-site/sanity/schema.ts                                                   | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/max/Documents/Code/Websites/mastela-site/sanity/schemas/author.ts                                           | TypeScript         |         61 |          0 |          2 |         63 |
| /Users/max/Documents/Code/Websites/mastela-site/sanity/schemas/blockContent.ts                                     | TypeScript         |         52 |         21 |          3 |         76 |
| /Users/max/Documents/Code/Websites/mastela-site/sanity/schemas/category.ts                                         | TypeScript         |         51 |          0 |          2 |         53 |
| /Users/max/Documents/Code/Websites/mastela-site/sanity/schemas/post.ts                                             | TypeScript         |        109 |          0 |          3 |        112 |
| /Users/max/Documents/Code/Websites/mastela-site/sanity/schemas/property.ts                                         | TypeScript         |        161 |          8 |          3 |        172 |
| /Users/max/Documents/Code/Websites/mastela-site/sanity/schemas/review.ts                                           | TypeScript         |         61 |          0 |          2 |         63 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/DateRangePicker.tsx                                 | TypeScript JSX     |         97 |          3 |         10 |        110 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/Layout.tsx                                          | TypeScript JSX     |        314 |         60 |          9 |        383 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/PageOverlay.tsx                                     | TypeScript JSX     |         71 |          1 |          2 |         74 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/SlideOver.tsx                                       | TypeScript JSX     |         73 |          0 |          3 |         76 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/blog/BlogPostPreview.tsx                            | TypeScript JSX     |        127 |          4 |         13 |        144 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/blog/BlogPostsContent.tsx                           | TypeScript JSX     |         83 |          0 |          4 |         87 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/blog/BlogSearchBar.tsx                              | TypeScript JSX     |         96 |          0 |          7 |        103 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/blog/SkeletonBlogPostPreview.tsx                    | TypeScript JSX     |         33 |          0 |          5 |         38 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/email/ConfirmationEmailTemplate.tsx                 | TypeScript JSX     |         15 |          0 |          3 |         18 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/email/ContactFormEmailTemplate.tsx                  | TypeScript JSX     |         22 |          0 |          3 |         25 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/email/UnblockedDatesTemplate.tsx                    | TypeScript JSX     |         32 |          0 |          4 |         36 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/home/AboutUsSection.tsx                             | TypeScript JSX     |        120 |          0 |          4 |        124 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/home/AmenitiesSections.tsx                          | TypeScript JSX     |         90 |          0 |          5 |         95 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/home/BlogSection.tsx                                | TypeScript JSX     |         81 |          0 |          7 |         88 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/home/FAQSection.tsx                                 | TypeScript JSX     |         61 |          7 |          3 |         71 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/home/HeroSection.tsx                                | TypeScript JSX     |        171 |         14 |          6 |        191 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/home/PropertiesSection.tsx                          | TypeScript JSX     |         71 |          1 |          5 |         77 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/home/SupportSection.tsx                             | TypeScript JSX     |         48 |          0 |          4 |         52 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/home/TestimonialsSection/Container.jsx              | JavaScript JSX     |          9 |          1 |          2 |         12 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/home/TestimonialsSection/Reviews.jsx                | JavaScript JSX     |        185 |          7 |         16 |        208 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/home/TestimonialsSection/TestimonialsSection.tsx    | TypeScript JSX     |         74 |          5 |          6 |         85 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/property/DescriptionContent.tsx                     | TypeScript JSX     |         25 |          0 |          2 |         27 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/property/DescriptionPopUp.tsx                       | TypeScript JSX     |         59 |          0 |          2 |         61 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/property/ImageGallery.tsx                           | TypeScript JSX     |         87 |          4 |          8 |         99 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/property/LoadingPropertyPage.tsx                    | TypeScript JSX     |        134 |         13 |          9 |        156 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/search/ListingCard.tsx                              | TypeScript JSX     |        140 |          7 |         18 |        165 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/search/Map.tsx                                      | TypeScript JSX     |         29 |          2 |          6 |         37 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/search/SkeletonInfoCard.tsx                         | TypeScript JSX     |         21 |          0 |          2 |         23 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/shared/ShareButton.tsx                              | TypeScript JSX     |         21 |          0 |          2 |         23 |
| /Users/max/Documents/Code/Websites/mastela-site/src/components/shared/Toast.tsx                                    | TypeScript JSX     |         18 |          0 |          1 |         19 |
| /Users/max/Documents/Code/Websites/mastela-site/src/env.mjs                                                        | JavaScript         |         33 |         17 |          5 |         55 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/404.tsx                                                  | TypeScript JSX     |         29 |          0 |          5 |         34 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/_app.tsx                                                 | TypeScript JSX     |         25 |          0 |          5 |         30 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/about.tsx                                                | TypeScript JSX     |        375 |          3 |         12 |        390 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/api/stripe/webhook.ts                                    | TypeScript         |        154 |          8 |         22 |        184 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/api/trpc/[trpc].ts                                       | TypeScript         |         16 |          1 |          2 |         19 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/cape-coral-guide/[slug].tsx                              | TypeScript JSX     |        158 |          2 |         24 |        184 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/cape-coral-guide/index.tsx                               | TypeScript JSX     |        115 |          3 |         12 |        130 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/cape-coral-guides/[category].tsx                         | TypeScript JSX     |         79 |          5 |         18 |        102 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/cape-coral-guides/index.tsx                              | TypeScript JSX     |         57 |          3 |         14 |         74 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/checkout.tsx                                             | TypeScript JSX     |        632 |         31 |         58 |        721 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/confirmation.tsx                                         | TypeScript JSX     |        218 |          2 |         22 |        242 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/contact.tsx                                              | TypeScript JSX     |        237 |          6 |          9 |        252 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/index.tsx                                                | TypeScript JSX     |         54 |          3 |         10 |         67 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/our-villas.tsx                                           | TypeScript JSX     |         30 |          3 |          6 |         39 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/privacy.tsx                                              | TypeScript JSX     |         59 |          0 |          4 |         63 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/property/[property].tsx                                  | TypeScript JSX     |        735 |         22 |         66 |        823 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/refund-policy.tsx                                        | TypeScript JSX     |         52 |          0 |          4 |         56 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/search.tsx                                               | TypeScript JSX     |        105 |          3 |         14 |        122 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/studio/[[...index]].tsx                                  | TypeScript JSX     |         16 |          0 |          1 |         17 |
| /Users/max/Documents/Code/Websites/mastela-site/src/pages/terms.tsx                                                | TypeScript JSX     |         69 |          0 |          4 |         73 |
| /Users/max/Documents/Code/Websites/mastela-site/src/server/api/root.ts                                             | TypeScript         |         10 |          6 |          3 |         19 |
| /Users/max/Documents/Code/Websites/mastela-site/src/server/api/routers/blog.ts                                     | TypeScript         |         20 |          0 |          3 |         23 |
| /Users/max/Documents/Code/Websites/mastela-site/src/server/api/routers/email.ts                                    | TypeScript         |         89 |          0 |          5 |         94 |
| /Users/max/Documents/Code/Websites/mastela-site/src/server/api/routers/properties.ts                               | TypeScript         |        457 |         13 |         62 |        532 |
| /Users/max/Documents/Code/Websites/mastela-site/src/server/api/stripe.ts                                           | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/max/Documents/Code/Websites/mastela-site/src/server/api/trpc.ts                                             | TypeScript         |         33 |         56 |         11 |        100 |
| /Users/max/Documents/Code/Websites/mastela-site/src/server/db.ts                                                   | TypeScript         |         12 |          0 |          4 |         16 |
| /Users/max/Documents/Code/Websites/mastela-site/src/server/resend.ts                                               | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/max/Documents/Code/Websites/mastela-site/src/server/sanityClient.ts                                         | TypeScript         |         11 |          0 |          3 |         14 |
| /Users/max/Documents/Code/Websites/mastela-site/src/styles/globals.css                                             | CSS                |         21 |          0 |          6 |         27 |
| /Users/max/Documents/Code/Websites/mastela-site/src/utils/api.ts                                                   | TypeScript         |         30 |         32 |          6 |         68 |
| /Users/max/Documents/Code/Websites/mastela-site/src/utils/fetch/fetchFeaturedPosts.ts                              | TypeScript         |         42 |          3 |          8 |         53 |
| /Users/max/Documents/Code/Websites/mastela-site/src/utils/fetch/fetchReviews.ts                                    | TypeScript         |          6 |          0 |          3 |          9 |
| /Users/max/Documents/Code/Websites/mastela-site/src/utils/functions/dates/datesEqual.ts                            | TypeScript         |          3 |          0 |          0 |          3 |
| /Users/max/Documents/Code/Websites/mastela-site/src/utils/functions/dates/formatDateEnglish.ts                     | TypeScript         |         21 |          0 |          6 |         27 |
| /Users/max/Documents/Code/Websites/mastela-site/src/utils/functions/dates/formatPhoneNumber.ts                     | TypeScript         |         11 |          6 |          3 |         20 |
| /Users/max/Documents/Code/Websites/mastela-site/src/utils/functions/dates/utcDate.ts                               | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/max/Documents/Code/Websites/mastela-site/src/utils/functions/formatCurrency.ts                              | TypeScript         |         23 |          1 |          6 |         30 |
| /Users/max/Documents/Code/Websites/mastela-site/src/utils/functions/functions.tsx                                  | TypeScript JSX     |         20 |          0 |          8 |         28 |
| /Users/max/Documents/Code/Websites/mastela-site/src/utils/functions/getBaseUrl.ts                                  | TypeScript         |          4 |          0 |          0 |          4 |
| /Users/max/Documents/Code/Websites/mastela-site/src/utils/functions/getUrlParams.ts                                | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/max/Documents/Code/Websites/mastela-site/src/utils/sanityQueries.ts                                         | TypeScript         |         29 |          6 |          5 |         40 |
| /Users/max/Documents/Code/Websites/mastela-site/tailwind.config.ts                                                 | TypeScript         |         55 |          0 |          2 |         57 |
| /Users/max/Documents/Code/Websites/mastela-site/tsconfig.json                                                      | JSON with Comments |         33 |          0 |          1 |         34 |
| /Users/max/Documents/Code/Websites/mastela-site/types.ts                                                           | TypeScript         |        204 |          0 |         32 |        236 |
| Total                                                                                                              |                    |      7,891 |        429 |        769 |      9,089 |
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
